客户编号,姓名,手机号,身份证号,邮箱,银行卡号,联系地址,常用IP,车牌号,会员等级,备注
C0001,吴刚,17618869188,330102198607073208,hr.admin60@company.cn,6243522543490833066,四川省成都市武侯区科技园科苑路429号,10.71.35.62,琼E3BLGG,钻石,长期客户
C0002,胡霞,18738795934,420106200009122791,hr.admin9@company.cn,6289051298780771862,陕西省西安市雁塔区科技园科苑路625号,49.40.121.153,豫R9WVHF,钻石,新客
C0003,黄涵,18847289798,310104198509017199,liming21@gmail.com,6229248048585911506,北京市北京市海淀区天府二街54号,186.102.25.42,陕H50YCD,钻石,续费提醒
C0004,黄秀英梓,18891264899,500105196002154146,liming71@163.com,6242067265373043901,广东省佛山市禅城区中关村大街717号,32.44.119.37,闽EVAKY5,金卡,已回访
C0005,郭文娜,13964982437,500105196811143009,no_reply81@qq.com,6291190993523995244,江苏省南京市江宁区汾江路115号,141.168.233.60,宁V2XRNU,普通,长期客户
C0006,黄磊静,17636380175,330102200008123365,hr.admin29@163.com,6257808762244172507,江苏省南京市江宁区深南大道871号,37.24.201.11,晋LG1UJ6,钻石,投诉跟进中
C0007,杨欣娟,17653958904,420106200102043094,chen.j57@163.com,6228355779984086927,四川省成都市武侯区长江大道448号,183.25.48.215,晋JFFEDZ,金卡,新客
C0008,郭强,15563349080,120103196011284192,chen.j75@qq.com,6211095296502190629,湖北省武汉市洪山区幸福路501号,28.10.15.103,青D0G9WJ,普通,投诉跟进中
C0009,张明,13932104894,120103198704086614,user0193@gmail.com,6296449068838660318,江苏省南京市江宁区解放北路588号,47.147.4.253,琼RMA7BU,金卡,已回访
C0010,何怡,15232693928,120103196209088189,user0196@gmail.com,6244175543395656040,北京市北京市海淀区科技园科苑路819号,48.166.147.56,赣PX5P62,金卡,投诉跟进中
C0011,吴静,13861476479,50010519750527833X,no_reply42@gmail.com,6290560009473499733,陕西省西安市雁塔区科技园科苑路360号,16.148.87.126,鲁Q59NQU,金卡,投诉跟进中
C0012,黄静,13842223398,120103197501022800,zhang.san62@gmail.com,6255497835006473030,陕西省西安市雁塔区延安西路491号,13.95.188.136,陕NKTCKN,银卡,续费提醒
C0013,李轩,15295710425,510107199702138137,wangwu44@163.com,6294415087688365583,湖北省武汉市洪山区深南大道837号,102.197.91.141,宁TVCW46,普通,续费提醒
C0014,李芳,17699800035,500105199504058289,no_reply4@gmail.com,6218588748785972973,广东省佛山市禅城区长江大道521号,75.200.110.132,贵D0UUKK,钻石,已回访
C0015,李艳,13887977701,610113197709286820,testuser91@163.com,6255466277674238931,江苏省南京市江宁区幸福路37号,159.242.147.224,闽Z0ZDDW,金卡,已回访
C0016,郭霞,18872252209,110101196010059175,testuser79@gmail.com,6298357136831045690,江苏省南京市江宁区深南大道686号,144.13.132.9,陕M19PU7,普通,续费提醒
C0017,吴军,15517776797,420106200311152430,testuser85@163.com,6259556384441801414,北京市北京市海淀区科技园科苑路640号,107.17.237.13,京GZGLQ2,金卡,长期客户
C0018,陈梓,17665387633,320111199911117016,liming33@gmail.com,6275261768348241553,陕西省西安市雁塔区科技园科苑路182号,191.17.176.178,蒙J260SJ,银卡,已回访
C0019,林娟,18839734524,320111197801222879,chen.j86@163.com,6285430522547217194,江苏省南京市江宁区汾江路762号,101.111.84.102,闽J9N31S,普通,已回访
C0020,杨磊怡,18896894521,320111199211186360,user0133@qq.com,6237946799228044000,江苏省南京市江宁区解放北路528号,186.162.219.76,冀G9566H,银卡,新客
C0021,王辉,15516001214,310104200411195245,zhang.san3@gmail.com,6202479914804435212,江苏省南京市江宁区汾江路1号,35.159.215.201,鲁TRKSME,银卡,续费提醒
C0022,郭超,18871729436,420106196305121604,hr.admin84@outlook.com,6211763275187628880,上海市上海市浦东新区长江大道193号,139.110.199.151,津X8UTVD,普通,已回访
C0023,赵军,18731282888,440305199408041190,li.si93@company.cn,6274620599588007548,广东省佛山市禅城区解放北路571号,108.109.89.94,蒙NWMWX5,普通,续费提醒
C0024,李芳娟,13940308340,320111200109276402,hr.admin74@company.cn,6230351718428078538,四川省成都市武侯区长江大道291号,30.146.45.6,苏DJ84KD,普通,长期客户
C0025,马娜,18880149608,610113196605246694,no_reply81@outlook.com,6259031560094998913,上海市上海市浦东新区科技园科苑路512号,125.78.200.134,宁XD4AQB,普通,续费提醒
C0026,杨静,17628020452,440305197512102927,zhang.san99@company.cn,6258003862667081150,浙江省杭州市西湖区人民南路50号,202.187.144.13,皖DWKFVX,银卡,长期客户
C0027,罗杰超,17675594512,510107197908055469,testuser21@163.com,6281526098476923122,浙江省杭州市西湖区延安西路124号,95.209.171.128,辽Y6APWL,钻石,已回访
C0028,林辉,18873139756,120103197511173485,hr.admin80@163.com,6264173901974041705,上海市上海市浦东新区幸福路894号,84.55.16.198,冀ZTL5FM,普通,已回访
C0029,赵勇,13977448359,440305200009219102,liming4@gmail.com,6299721102674218338,北京市北京市海淀区长江大道317号,67.6.239.161,赣X40U48,钻石,投诉跟进中
C0030,刘静超,13957361483,110101198407121183,testuser73@gmail.com,6299218594789883909,湖北省武汉市洪山区长江大道246号,27.18.88.82,赣TBKP7R,普通,已回访
C0031,刘艳,15592774823,320111196609013079,user0136@qq.com,6260892149145119947,湖北省武汉市洪山区解放北路344号,57.42.33.228,琼W8LZCR,钻石,已回访
C0032,郑欣,15297720442,330102196610218202,testuser84@163.com,6232913875373263551,四川省成都市武侯区汾江路402号,46.150.252.203,津EMU8B0,普通,长期客户
C0033,郑怡娜,18860769711,510107197911089029,liming92@gmail.com,6215984959706982423,湖北省武汉市洪山区科技园科苑路339号,49.243.232.253,豫B92CQ9,普通,长期客户
C0034,吴军梓,13832621875,500105198406274194,zhang.san53@gmail.com,6240554646707502296,江苏省南京市江宁区中关村大街438号,89.68.68.52,桂FLTN0A,金卡,新客
C0035,朱娟,15556560461,330102199010146093,li.si81@qq.com,6200744446065921989,江苏省南京市江宁区幸福路903号,148.237.254.213,苏T41SLY,钻石,投诉跟进中
C0036,郑伟,17663248398,110101196803035149,li.si74@qq.com,6262289266417485009,湖北省武汉市洪山区中关村大街557号,114.187.221.159,甘R4R9XH,金卡,投诉跟进中
C0037,何军,15534771018,310104197701038446,testuser63@qq.com,6244172161874351828,浙江省杭州市西湖区汾江路137号,27.133.112.226,川SDGGT4,钻石,续费提醒
C0038,赵文,13845077580,110101198806256798,hr.admin37@qq.com,6272716618116026611,上海市上海市浦东新区科技园科苑路537号,116.177.75.60,鲁VYVZGP,钻石,新客
